DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2016,57630,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2017,58736,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2018,59434,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2019,60208,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2020,61384,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2021,63304,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DK,2022,65666,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2002,24944,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2003,25472,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2004,26249,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2005,26882,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2006,27690,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2007,28457,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2008,29522,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2009,30048,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2010,30709,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2011,31497,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2012,32054,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2013,32647,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2014,33128,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2015,33629,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2016,34130,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2017,34741,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2018,35325,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2019,36339,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2020,35849,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2021,37296,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EA20,2022,39082,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,1997,3004,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,1998,3364,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EE,1999,3650,
