id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7943,Richard Wade Wehr,,9,1.3,-,0.3,23.8,33.3,-,-0.1
7944,Brant Clifford Weidner,,8,1.0,1.4,0.0,22.2,-,5.4,0.0
7945,Robert William Weiss,"
(Bobby, Iron Man)
",783,7.6,1.8,3.7,42.8,82.8,12.5,31.2
7946,Richard L. Weitzman,,25,1.3,0.4,0.3,26.1,69.2,5.6,-0.3
7947,Gawen Deangelo Wells,"
(The Bonz)
",591,12.1,4.6,2.1,46.0,32.7,16.1,29.4
7948,Charles Richard Wells Jr.,,39,3.3,1.7,0.9,41.4,16.7,11.1,0.1
7949,Owen Wells,,33,3.0,1.1,0.7,42.0,68.2,12.9,0.1
7950,Ralph E. Wells,,3,0.7,2.0,2.3,14.3,0.0,-0.2,-0.2
7951,Christian Ansgar Welp,,109,3.3,2.4,0.4,44.6,0.0,8.7,1.0
7952,Jiří Welsch,,247,6.1,2.4,1.5,40.3,34.3,11.2,5.7
7953,Thomas Welsh,,11,1.6,0.4,0.5,53.8,42.9,16.1,0.1
7954,William Percey Wennington,,720,4.6,3.0,0.6,45.9,13.9,10.9,17.7
7955,Matthew William Wenstrom,,11,1.6,1.1,0.0,60.0,-,15.6,0.1
7956,Robert Werdann,,47,2.1,1.7,0.2,37.8,0.0,9.8,0.1
7957,Raymond Anthony Wertis,,68,3.6,-,0.7,21.0,59.0,-,-1.4
7958,Blake Carrington Wesley,,37,5.0,2.2,2.7,32.1,38.5,3.5,-1.6
7959,David Barakau Wesley,,949,12.5,2.5,4.4,42.4,36.8,14.2,61.3
7960,Walter Wesley,,590,8.5,5.5,0.7,43.4,63.0,13.6,9.5
7961,David Moorer West,,1034,13.6,6.4,2.2,49.5,26.5,18.6,85.9
7962,Delonte West,,432,9.7,2.9,3.6,44.8,37.2,13.9,24.5
7963,Jeffery Douglas West,"
(Fresh, X)
",676,9.6,2.5,1.9,48.1,19.1,11.5,17.7
7964,Jerry Alan West,"
(Mr. Clutch, Zeke From Cabin Creek, The Logo, Cabin Creek Comet, Tweety, Tweety Bird)
",932,27.0,5.8,6.7,47.4,81.4,22.9,162.6
7965,Mario Marcee West,,162,1.0,0.9,0.3,44.8,20.0,9.4,1.4
