id,season,age,tm,lg,pos,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
12244,1975-76,26,mil,nba,c,3,"",34.7,5.0,9.0,.556,,,,,,,,4.7,7.0,.667,1.7,5.7,7.3,0.3,0.7,3.7,"",4.7,14.7,7359
12245,1976-77,27,cle,nba,c,3,"",18.7,6.0,11.0,.545,,,,,,,,1.7,2.7,.625,2.0,6.0,8.0,0.3,1.7,1.0,"",3.3,13.7,7359
12246,1977-78,28,cle,nba,c,2,"",28.0,5.5,12.0,.458,,,,,,,,1.5,3.0,.500,3.0,6.5,9.5,0.0,1.5,1.5,2.5,4.5,12.5,7359
12247,1971-72,26,bos,nba,pf,4,"",1.5,0.3,1.3,.200,"","","",0.3,1.3,.200,.200,0.0,0.8,.000,"","",0.3,0.0,"","","",0.3,0.5,7360
12248,1972-73,27,sda,aba,c,4,"",15.8,1.3,4.3,.294,0.0,0.0,"",1.3,4.3,.294,.294,0.5,1.8,.286,3.0,2.3,5.3,0.3,"","",0.3,2.3,3.0,7360
12249,1969-70,23,mil,nba,pf,10,"",32.9,4.7,9.4,.500,,,,,,,,1.3,2.2,.591,"","",8.5,2.2,"","",,3.4,10.7,7361
12250,1970-71,24,mil,nba,pf,14,"",32.4,5.0,9.1,.547,,,,,,,,1.6,2.9,.550,"","",8.6,2.6,"","",,3.2,11.6,7361
12251,2012-13,22,hou,nba,c,5,1,11.8,1.2,1.8,.667,0.0,0.0,"",1.2,1.8,.667,.667,1.2,2.4,.500,1.4,1.2,2.6,0.0,0.4,0.4,0.8,1.8,3.6,7362
12252,2014-15,24,dal,nba,pf,1,0,1.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7362
12253,2010-11,22,mem,nba,pg,5,0,2.0,0.4,0.6,.667,0.0,0.0,"",0.4,0.6,.667,.667,0.0,0.0,"",0.0,0.4,0.4,0.4,0.2,0.0,0.2,0.2,0.8,7363
12254,2011-12,23,orl,nba,pg,1,0,5.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7363
12255,2012-13,24,mil,nba,pg,4,0,2.8,0.0,0.3,.000,0.0,0.0,"",0.0,0.3,.000,.000,0.0,0.0,"",0.0,0.3,0.3,0.8,0.0,0.0,0.3,0.3,0.0,7363
12256,2018-19,30,det,nba,pg,4,0,20.3,2.5,9.5,.263,0.3,1.8,.143,2.3,7.8,.290,.276,0.8,1.0,.750,0.3,2.5,2.8,3.5,0.8,0.3,1.0,2.0,6.0,7363
12257,2020-21,32,was,nba,pg,5,0,22.2,3.2,8.6,.372,0.4,1.4,.286,2.8,7.2,.389,.395,0.0,0.0,"",0.2,3.0,3.2,2.8,1.4,0.4,1.0,2.2,6.8,7363
12258,2022-23,34,den,nba,pg,4,0,3.0,0.3,0.5,.500,0.0,0.0,"",0.3,0.5,.500,.500,0.0,0.0,"",0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.5,0.5,7363
12259,2006-07,21,den,nba,sg,4,0,11.8,1.5,5.5,.273,0.0,3.0,.000,1.5,2.5,.600,.273,1.5,1.5,1.000,0.3,2.0,2.3,0.5,1.0,0.3,0.8,1.5,4.5,7364
12260,2007-08,22,den,nba,sg,4,0,27.0,5.8,10.8,.535,1.8,5.5,.318,4.0,5.3,.762,.616,5.0,6.0,.833,0.3,1.5,1.8,1.8,1.0,0.0,1.3,3.0,18.3,7364
12261,2008-09,23,den,nba,sg,16,0,27.2,5.5,12.1,.454,2.4,6.6,.358,3.1,5.5,.568,.552,1.6,2.9,.543,0.7,2.6,3.3,2.8,1.1,0.3,1.6,3.2,14.9,7364
12262,2009-10,24,den,nba,sg,6,0,26.5,3.5,9.5,.368,1.8,5.2,.355,1.7,4.3,.385,.465,2.3,2.7,.875,0.8,3.0,3.8,1.7,0.7,0.3,1.0,2.8,11.2,7364
12263,2010-11,25,den,nba,sf,5,0,15.2,3.2,9.0,.356,1.8,4.2,.429,1.4,4.8,.292,.456,1.6,2.2,.727,0.2,1.8,2.0,1.0,0.4,0.0,1.6,1.6,9.8,7364
12264,2011-12,26,nyk,nba,sg,5,0,35.0,4.8,15.2,.316,1.0,5.6,.179,3.8,9.6,.396,.349,1.6,1.6,1.000,0.4,2.2,2.6,2.2,1.2,0.2,2.2,3.8,12.2,7364
12265,2012-13,27,nyk,nba,sg,11,0,31.9,4.9,14.8,.331,1.6,6.0,.273,3.3,8.8,.371,.387,2.8,3.9,.721,0.5,4.2,4.7,1.4,1.0,0.5,1.8,2.5,14.3,7364
12266,2014-15,29,cle,nba,sg,18,4,31.1,4.6,11.4,.403,2.8,7.9,.359,1.8,3.6,.500,.527,0.8,1.1,.700,0.5,4.2,4.7,1.2,0.9,0.6,0.8,3.0,12.8,7364
12267,2015-16,30,cle,nba,sg,21,21,34.8,3.9,9.0,.436,3.1,7.2,.430,0.8,1.8,.459,.609,0.6,1.0,.619,0.3,2.9,3.2,1.4,1.2,0.2,0.5,2.6,11.5,7364
12268,2016-17,31,cle,nba,sg,18,18,27.1,2.8,5.5,.505,2.2,4.4,.500,0.6,1.1,.526,.707,0.3,0.6,.455,0.3,2.1,2.3,0.7,0.7,0.3,0.7,2.3,8.1,7364
12269,2017-18,32,cle,nba,sg,22,21,32.1,3.0,8.5,.348,2.0,5.5,.367,1.0,3.0,.313,.465,0.8,1.0,.773,0.5,2.3,2.7,1.1,1.0,0.2,0.9,2.5,8.7,7364
12270,2019-20,34,lal,nba,sg,10,0,7.5,0.7,2.6,.269,0.6,2.2,.273,0.1,0.4,.250,.385,0.0,0.0,"",0.0,0.3,0.3,0.3,0.2,0.0,0.7,1.1,2.0,7364
12271,2003-04,26,sac,nba,c,4,0,2.5,0.3,0.5,.500,0.0,0.0,"",0.3,0.5,.500,.500,0.8,1.0,.750,0.3,0.5,0.8,0.0,0.0,0.3,0.0,0.5,1.3,7365
12272,2004-05,27,njn,nba,pf,3,0,1.3,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,7365
12273,2020-21,20,pho,nba,pf,6,0,3.0,0.3,0.7,.500,0.2,0.2,1.000,0.2,0.5,.333,.625,0.0,0.0,"",0.3,0.5,0.8,0.2,0.0,0.0,0.2,0.3,0.8,7367
12274,2007-08,21,phi,nba,pf,6,0,13.7,1.3,3.0,.444,0.0,0.2,.000,1.3,2.8,.471,.444,0.7,0.7,1.000,0.7,1.8,2.5,0.5,0.2,0.8,0.3,0.8,3.3,7368
12275,2010-11,24,noh,nba,c,6,0,9.7,1.2,2.5,.467,0.0,0.0,"",1.2,2.5,.467,.467,0.0,0.0,"",0.2,1.0,1.2,0.2,0.3,0.0,0.0,1.8,2.3,7368
12276,2016-17,30,was,nba,c,13,0,12.1,1.5,3.0,.487,0.2,0.8,.300,1.2,2.2,.552,.526,0.8,1.1,.714,0.8,1.5,2.2,0.3,0.2,0.5,0.8,2.3,3.9,7368
12277,2017-18,31,was,nba,c,1,0,2.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,"","",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368
12278,1998-99,23,min,nba,c,4,4,30.0,2.8,9.3,.297,0.0,0.0,"",2.8,9.3,.297,.297,2.0,2.8,.727,2.5,4.0,6.5,1.3,0.5,2.0,1.3,3.8,7.5,7371
12279,1999-00,24,min,nba,c,4,0,19.8,2.0,4.3,.471,0.0,0.3,.000,2.0,4.0,.500,.471,0.5,0.5,1.000,1.8,1.3,3.0,0.3,0.8,0.3,1.0,3.8,4.5,7371
12280,2001-02,26,min,nba,c,3,1,14.3,1.0,2.3,.429,0.0,0.0,"",1.0,2.3,.429,.429,2.3,2.7,.875,1.3,2.3,3.7,0.0,0.0,0.3,0.3,2.7,4.3,7371
12281,2002-03,27,min,nba,sf,5,1,8.0,0.8,1.2,.667,0.0,0.0,"",0.8,1.2,.667,.667,1.2,1.2,1.000,0.0,1.2,1.2,0.0,0.2,0.2,0.6,2.8,2.8,7371
12282,2003-04,28,mil,nba,pf,5,5,35.0,5.4,11.0,.491,0.0,0.2,.000,5.4,10.8,.500,.491,2.4,2.6,.923,4.6,5.4,10.0,0.4,0.8,2.0,1.2,3.0,13.2,7371
12283,2005-06,30,mil,nba,pf,5,0,21.2,3.2,6.6,.485,0.0,0.0,"",3.2,6.6,.485,.485,1.2,1.8,.667,1.2,4.2,5.4,0.6,0.4,0.4,0.2,3.2,7.6,7371
12284,2007-08,32,cle,nba,pf,13,0,20.2,2.8,5.7,.486,0.0,0.1,.000,2.8,5.6,.493,.486,1.1,1.7,.636,1.5,3.1,4.6,0.5,0.4,0.5,0.5,3.2,6.6,7371
12285,2008-09,33,cle,nba,c,13,0,16.8,1.8,3.8,.460,0.2,0.4,.600,1.5,3.5,.444,.490,1.8,2.2,.793,0.8,2.9,3.7,0.2,0.5,0.5,0.5,1.9,5.5,7371
12286,2009-10,34,atl,nba,pf,5,0,4.8,0.0,0.6,.000,0.0,0.0,"",0.0,0.6,.000,.000,0.0,0.0,"",0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,7371
12287,2010-11,35,lal,nba,pf,5,0,2.2,0.0,0.4,.000,0.0,0.0,"",0.0,0.4,.000,.000,0.0,0.0,"",0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,7371
